pelicula,genero,duracion,minutosVistos,porcentajeVisto,numeroVistas,calificacionUsuario,clasificacion
The Matrix,Ciencia Ficcion,136,136.0,100.0,0.0,3.1464118956042593,1
Coco,Infantil,105,103.0,98.09523809523809,2.0,3.1113303833298267,1
Forrest Gump,Drama,142,133.0,93.66197183098592,0.0,1.7457182412501453,1
Titanic,Romance,195,75.0,38.46153846153847,0.0,4.292532600944081,0
Fight Club,Drama,139,22.0,15.827338129496402,0.0,3.0455739314501424,0
Avengers: Endgame,Accion,181,158.0,87.29281767955801,5.0,3.3575222652146177,1
Forrest Gump,Drama,142,64.2146,45.22154929577465,1.0,2.442655781944394,0
Pulp Fiction,Crimen,154,55.0,35.714285714285715,3.0,2.272334661819265,-1
Forrest Gump,Drama,142,35.0,24.647887323943664,2.0,3.4565885363658015,0
Inception,Ciencia Ficcion,148,21.0,14.18918918918919,4.0,3.636004622163611,0
Inception,Ciencia Ficcion,148,49.0,33.108108108108105,5.0,3.7797270070095776,0
Gladiator,Accion,155,19.0,12.258064516129032,4.0,2.017105330584934,-1
Coco,Infantil,105,96.0,91.42857142857143,6.0,2.2135585060463896,1
Pulp Fiction,Crimen,154,2.0,1.2987012987012987,2.0,2.8589406853207153,0
Avengers: Endgame,Accion,181,90.0,49.72375690607735,0.0,3.9600342688997525,0
Pulp Fiction,Crimen,154,55.0,35.714285714285715,4.0,4.520950246482743,1
Interstellar,Ciencia Ficcion,169,34.0,20.118343195266274,6.0,2.7264097370640106,0
Pulp Fiction,Crimen,154,69.0,44.8051948051948,5.0,1.0,0
Interstellar,Ciencia Ficcion,169,64.2146,37.996804733727814,1.0,4.503794221793069,1
Gladiator,Accion,155,75.0,48.38709677419355,10.0,1.0,0
Gladiator,Accion,155,24.0,15.483870967741936,5.0,1.0,-1
Fight Club,Drama,139,60.0,43.16546762589928,0.0,3.0251955452745936,0
La La Land,Musical,128,17.0,13.28125,7.0,1.0,-1
Inception,Ciencia Ficcion,148,131.0,88.51351351351352,1.0,2.4637069546336465,1
Forrest Gump,Drama,142,122.0,85.91549295774648,2.0,3.4986144793024407,1
Forrest Gump,Drama,142,63.0,44.36619718309859,5.0,4.326030340245386,1
Coco,Infantil,105,78.0,74.28571428571429,0.0,2.9319340211247926,0
The Shawshank Redemption,Suspenso,144,21.0,14.583333333333334,0.0,1.5922290444507854,-1
The Shawshank Redemption,Suspenso,144,129.0,89.58333333333334,2.0,4.980641225518442,1
The Dark Knight,Accion,152,66.0,43.42105263157895,4.0,2.4762933962260383,0
The Matrix,Ciencia Ficcion,136,54.0,39.705882352941174,4.0,4.045237293944713,0
Fight Club,Drama,139,25.0,17.985611510791365,4.0,3.287449249272507,0
The Dark Knight,Accion,152,68.0,44.73684210526316,2.0,1.8995037545080944,0
The Dark Knight,Accion,152,55.0,36.18421052631579,4.0,3.9687410715668623,1
The Godfather,Crimen,175,33.0,18.857142857142858,2.0,3.3643456292869187,0
Coco,Infantil,105,55.0,52.38095238095239,5.0,4.196292905649839,1
The Godfather,Crimen,175,49.0,28.000000000000004,5.0,3.1680184432503253,0
The Lord of the Rings,Fantasia,178,152.0,85.39325842696628,6.0,2.3239990868217593,1
Coco,Infantil,105,105.0,100.0,0.0,3.6784156661146707,1
The Dark Knight,Accion,152,106.0,69.73684210526315,6.0,2.7308521911494767,0
Pulp Fiction,Crimen,154,111.0,72.07792207792207,1.0,3.3969957854931883,0
The Matrix,Ciencia Ficcion,136,1.0,0.7352941176470588,4.0,2.694968471345397,-1
La La Land,Musical,128,54.0,42.1875,2.0,2.803528398619596,0
Fight Club,Drama,139,42.0,30.215827338129497,2.0,4.570977401082482,1
Coco,Infantil,105,44.0,41.904761904761905,0.0,2.475139414013345,0
La La Land,Musical,128,23.0,17.96875,2.0,2.550240173846402,0
The Dark Knight,Accion,152,36.0,23.684210526315788,6.0,3.741859864794891,1
Avengers: Endgame,Accion,181,52.0,28.7292817679558,4.0,4.388896223083236,1
Titanic,Romance,195,77.0,39.48717948717949,3.0,4.825307349522879,1
Forrest Gump,Drama,142,79.0,55.633802816901415,4.0,4.660582616185858,1
